target,salary,commission,age,car,hvalue,hyears,loan,elevel_level0,elevel_level1,elevel_level2,elevel_level3,elevel_level4,zipcode_zipcode1,zipcode_zipcode2,zipcode_zipcode3,zipcode_zipcode4,zipcode_zipcode5,zipcode_zipcode6,zipcode_zipcode7,zipcode_zipcode8,zipcode_zipcode9
0,0.6961518108374429,0.0,0.5666666666666667,0.0,0.9999999999999999,1.0,0.7094483650600107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.9299521468840221,0.0,0.39999999999999997,0.05263157894736842,0.9999999999999999,0.034482758620689655,0.790030678039427,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.7627665513650774,0.0,0.48333333333333334,0.10526315789473684,0.9999999999999999,0.7241379310344828,0.24405017048417055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.7012484871566954,0.6000000000000001,0.15789473684210525,0.9999999999999999,1.0,0.19925924291322317,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5688947729808946,0.0,0.6499999999999999,0.0,0.9999999999999999,0.0,0.9173596524767735,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1643494867323302,0.7041220501445419,0.8500000000000001,0.21052631578947367,0.9999999999999999,0.6206896551724138,0.4336794304392663,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5754277778809173,0.0,0.2,0.2631578947368421,0.9999999999999999,0.7586206896551725,0.46643214134187894,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.11085098153244857,0.5317918717295176,0.21666666666666673,0.2631578947368421,0.9999999999999999,0.1724137931034483,0.9014147624218757,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.833067855420695,0.0,0.2,0.3157894736842105,0.9999999999999999,0.3793103448275862,0.04153612829952572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.6215916988522097,0.0,0.6333333333333333,0.3684210526315789,0.9999999999999999,0.1724137931034483,0.586213309148963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.22971853568414788,0.7708615908762146,0.033333333333333326,0.42105263157894735,0.9999999999999999,0.3793103448275862,0.3121733734094503,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
